Family APG2,FAMFOSTER,FamCroat,Genus,Prefix,Species,Author,v/s,Varsub,Varsubauth,chg,catpan,chg2,SYNONYMS,Voucher spec,Syn ref,Syn_notes,For/Mar_RF,LF_RF,BCI_STAT,BCI cult,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Polybotrya,,caudata,Kunze,,,,syn.,,,Polybotrya villosula H.Christ,Croat 6850 (MO): det. R.Moran 1984 (Tropicos),"Moran, R. 1995 (Fl Meso 1)",,F,E,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Pteris,,altissima,Poir.,,,,,,,,,,,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Pteris,,grandifolia,L.,,,,,,,,,,,,H,D,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Pteris,,propinqua,J.Agardh,,,,,,,,Croat 4319 (not in Tropicos),"Lellinger, D. 1989 (Pteridologia 2A: 1-364), as a synonym of Pteris polita; returned to P. propinqua by Moran, R. 1995 (Fl Meso) ",Treated as Pteris polita by Lellinger 1989; Fl. Meso rejects this treatment.,F,H,,,,
Pteridaceae,~Pteridophyta,Polypodiaceae,Pteris,,pungens,Willd.,,,,,,,,,,,,H,D,,,
Saccolomataceae,~Pteridophyta,Polypodiaceae,Saccoloma,,elegans,Kaulf.,ssp.,chartaceum,Cremers & K.U. Kramer,(+ssp.),,,,,"Moran, R. 1995 (Fl Meso 1)",This is the only subsp. recorded from Mesoamerica,F,H,,,,
Salviniaceae,~Pteridophyta,Salviniaceae,Salvinia,,radula,Baker,,,,,,,,,,,,Ha,,,,
Schizaeaceae,~Pteridophyta,Schizaeaceae,Schizaea,,elegans,(Vahl) Sm.,,,,,,,,,,,,H,D,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,arthritica,Alston,,,,,,,,,,,F,H,,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,exaltata,(Kunze) Spring,,,,,,,,,,,F,V,,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,flagellata,Spring,,,,,,,,,,,F,H,,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,haematodes,(Kunze) Spring,,,,,,,,,,,F,H,,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,horizontalis,(C.Presl) Spring,,,,,,,,,,,F,H,,,,
Selaginellaceae,~Pteridophyta,Selaginellaceae,Selaginella,,mollis,A.Braun,,,,,,,,,,,F,H,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Serpocaulon,,maritimum,(Hieron.) A.R.Sm.,,,,syn.,n,,Polypodium maritimum Hieron. (Croat 1978; Correa et al. 2004),,"Smith, A. 2006 (Taxon 55: 928)",,,Ew,D,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Serpocaulon,,triseriale,(Sw.) A.R.Sm.,,,,syn.,n,,Polypodium triseriale Sw. (Croat 1978; Correa et al. 2004),,"Smith, A. 2006 (Taxon 55: 929)",,F,E,,,,
Polypodiaceae,~Pteridophyta,Polypodiaceae,Serpocaulon,,wagneri,(Mett.) A.R.Sm.,,,,syn.,n,,Polypodium costaricense H.Christ (Croat 1978); Polypodium wagneri Mett. (Correa et al. 2004),,"Smith, A. 2006 (Taxon 55: 929)",,F,E,,,,
Gleicheniaceae,~Pteridophyta,Gleicheniaceae,Sticherus,,bifidus,(Willd.) Ching,,,,syn.,,,Gleichenia bifida (Willd.) Spreng.,,"Moran, R. 1995 (Fl Meso 1)",,,Vw,,,,
Dryopteridaceae,~Pteridophyta,Polypodiaceae,Stigmatopteris,,sordida,(Maxon) C.Chr.,,,,syn.,,,Dryopteris sordida Maxon,,"Moran, R. 1995 (Fl Meso 1)",,,H,D,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Tectaria,,incisa,Cav.,,,,(-),,,Tectaria incisa Cav. var. incisa,,"Moran, R. 1992 (Novon 2:138)","Croat (1978) treated T. pilosa and T. incisa sensu strictu as distinct varieties of T. incisa, with T. pilosa said to be the more common; Hybrid with Tectaria panamensis, Tectaria X michleriana (D.C.Eaton) Lellinger, may be expected on BCI.",F,H,,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Tectaria,,nicotianifolia,(Baker) C.Chr.,,,,syn.,,,Tectaria euryloba (H.Christ) Maxon,,"Moran, R. 1995 (Fl Meso 1)",,F,H,,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Tectaria,,panamensis,(Hook.) R.M. Tryon & A.F. Tryon,,,,syn.,n,,Dictyoxiphium panamense Hook. (Croat 1978; Correa et al. 2004),,"Kramer, K. & P. Green 1990 (Fam. Gen. Vasc. Plants vol. 1); Mickel, J. & A. Smith 2004 (Pteridophyte Flora Mex.)",Treated in Dictyoxiphium by Moran 1995 (Fl Meso 1); see Tectaria incisa Note,F,H,,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Tectaria,,pilosa,(Fée) R.C. Moran,,,,syn.,,,Tectaria incisa Cav. var. pilosa (Fée) C.V.Morton,"Croat 5874 (MO), Schmalzel 680 (MO), Shattuck 13 (MO) & others: det. A.Rojas 2006 (Tropicos); Shattuck 194 (F): det. A.Rojas 2000","Moran, R. 1992 (Novon 2:138)",See note under T. incisa,F,H,,,,
Tectariaceae,~Pteridophyta,Polypodiaceae,Tectaria,,rivalis,(Mett.) C.Chr.,,,,new,,,,"Seaverns 55, coll. date 1939 (F): det. R.Moran 1987",,"Voucher previously det. as Tectaria incisa, later Tectaria rheosora",,,D?,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,arborescens,(Humb. & Bonpl. ex Willd.) C.V. Morton,,,,new,,,"Thelypteris serrata (Cav.) Alston sensu Croat (1978), in part","Aviles 79 (F,MO), Croat 5060 (F,MO), prev. det. T. serrata: det. A.Smith 1987",,Thelypteris arborescens sensu lato; possibly to be segregated as T. standleyi - A. Smith 2006 (pers. comm.),,,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,balbisii,(Spreng.) Ching,,,,,,,,,,,F,H,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,dentata,(Forssk.) E.P.St.John,,,,,,,,,,,F,H,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,interrupta,(Willd.) K.Iwats.,,,,syn.,,,Thelypteris totta (Thunb.) Schelpe,,"Smith, A. 1995 (Fl Meso 1)",,,Ha,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,nicaraguensis,(E.Fourn.) C.V. Morton,,,,,,,,,,,F,H,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,opulenta,(Kaulf.) Fosberg,,,,syn.,,,Thelypteris extensa (Blume) C.V. Morton,,"Smith, A. 1995 (Fl Meso 1)",,F,H,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,poiteana,(Bory) Proctor,,,,,,,,,,,F,H,,,,
Thelypteridaceae,~Pteridophyta,Polypodiaceae,Thelypteris,,serrata,(Cav.) Alston,,,,(-),,,"Thelypteris serrata (Cav.) Alston sensu Croat (1978), in part","Croat 5715 (MO,UC): cited by A.Smith 1995 (Fl Meso)",,,,Hw,,,,
