Species	Sp (Croat 1978)	Family	Fam (Croat 1978)	Life form	Lf (Croat 1978)	Source for additions
Clusia flavida	Havetiopsis flexilis	Clusiaceae	Guttiferae	he	HE	
Clusia minor	**	Clusiaceae	Guttiferae	he		Zotz et al. (1997)
Clusia peninsulae	**	Clusiaceae	Guttiferae	he		[Croat 14050]
Clusia uvitana	Clusia odorata	Clusiaceae	Guttiferae	he	HE	
Mickelia nicotianifolia	Bolbiltis nicotianifolia	Dryopteridaceae	Polypodiaceae	v	E	
Polybotrya caudata	Polybotrya villosula	Dryopteridaceae	Polypodiaceae	v	E	
Lomariopsis vestita		Lomariopsidaceae	Polypodiaceae	he	E	
Maxonia apiifolia		Lomariopsidaceae	Polypodiaceae	v	HE	
Marcgravia nepenthoides		Marcgraviaceae		he	E	
Souroubea sympetala		Marcgraviaceae		he	E	
Ficus colubrinae		Moraceae		he	HE	
Ficus curtipes	Ficus obtusifolia	Moraceae		he	HE	
Ficus dugandii		Moraceae		he	HE	
Ficus maxima	Ficus citrifolia	Moraceae		he	HE	
Ficus nymphaeifolia		Moraceae		he	HE	
Ficus obtusiuscula	Ficus perforata	Moraceae		he	HE	
Ficus paraensis		Moraceae		he	HE	
Ficus pertusa		Moraceae		he	HE	
Ficus popenoei 		Moraceae		he	HE	
Ficus trigonata		Moraceae		he	HE	
Vanilla planifolia	Vanilla fragrans	Orchidaceae		v	E	
Vanilla pompona		Orchidaceae		v	E	
Cosmibuena grandiflora	Cosmibuena skinneri	Rubiaceae		he	HE	
Cosmibuena macrocarpa	**	Rubiaceae		he		[Croat NL]
Markea ulei		Solanaceae		he	HE	
Boehmeria cylindrica		Urticaceae		acc	E	
Coussapoa asperifolia subsp. magnifolia	Coussapoa magnifolia	Urticaceae	Moraceae	he	E	
Coussapoa villosa	Coussapoa panamensis	Urticaceae	Moraceae	he	E	
