"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia liesneri","Maguire",NA,NA,"Freestanding","Clusia liesneri","Maguire","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia liesneri",5556333,"Clusia liesneri"
"cluslo","cluslo",NA,NA,"Malpighiales","Clusiaceae","Clusia longipetiolata","Schery",NA,NA,"Freestanding","Clusia longipetiolata","Schery","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia longipetiolata",5556326,"Clusia longipetiolata-CLUSLO"
"clusmi","clusmi",NA,"CLU1","Malpighiales","Clusiaceae","Clusia minor","L.","Clusia pratensis",NA,"Freestanding","Clusia minor","L.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia minor",5421056,"Clusia minor-CLUSMI-CLU1"
"clusmu","clusmu",NA,NA,"Malpighiales","Clusiaceae","Clusia multiflora","Kunth",NA,NA,"Freestanding","Clusia multiflora","Kunth","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia multiflora",7330264,"Clusia multiflora-CLUSMU"
NA,NA,NA,"CLUO","Malpighiales","Clusiaceae","Clusia odorata","Seem.",NA,NA,"Freestanding","Clusia odorata","Seem.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia minor",5421056,"Clusia odorata-CLUO"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia peninsulae","Hammel",NA,NA,"Freestanding","Clusia peninsulae","Hammel","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia peninsulae",7953603,"Clusia peninsulae"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia perscariosa","Maguire",NA,NA,"Freestanding","Clusia perscariosa","Maguire","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia congestiflora",5555569,"Clusia perscariosa"
"clusro","clusro","clusro","CLUM","Malpighiales","Clusiaceae","Clusia rosea","Jacq.",NA,NA,"Freestanding","Clusia rosea","Jacq.","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Clusia rosea",5421060,"Clusia rosea-CLUSRO-CLUM"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia rotundata","Standl.",NA,NA,"Freestanding","Clusia rotundata","Standl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia rotundata",5556030,"Clusia rotundata"
"clusst","clusst","clusst",NA,"Malpighiales","Clusiaceae","Clusia stenophylla","Standl.",NA,NA,"Freestanding","Clusia stenophylla","Standl.","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Clusia stenophylla",5555940,"Clusia stenophylla-CLUSST"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia triflora","Cuatrec.",NA,NA,"Freestanding","Clusia triflora","Cuatrec.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia triflora",7330081,"Clusia triflora"
NA,NA,NA,"CLUU","Malpighiales","Clusiaceae","Clusia uvitana","Pittier",NA,NA,"Freestanding","Clusia uvitana","Pittier","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia uvitana",5555867,"Clusia uvitana-CLUU"
"clusva","clusva",NA,"CLUV","Malpighiales","Clusiaceae","Clusia valerii","Standl.",NA,NA,"Freestanding","Clusia valerii","Standl.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia valerii",5555861,"Clusia valerii-CLUSVA-CLUV"
NA,NA,NA,NA,"Malpighiales","Clusiaceae","Clusia veneralensis","Cuatrec.",NA,NA,"Freestanding","Clusia veneralensis","Cuatrec.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Clusia veneralensis",5555858,"Clusia veneralensis"
"cnesru","cnesru",NA,"CNER","Oxalidales","Connaraceae","Cnestidium rufescens","Planch.",NA,"R. Pérez 2140 y 2327 (PMA, SCZ)","Climbing","Cnestidium rufescens","Planch.","species","Connaraceae",FALSE,NA,FALSE,NA,"Cnestidium rufescens",3687051,"Cnestidium rufescens-CNESRU-CNER"
"cne1fe","cne1fe",NA,NA,"Oxalidales","Connaraceae","Cnestis ferruginea","Vahl ex DC.",NA,NA,"Climbing","Cnestis ferruginea","Vahl ex DC.","species","Connaraceae",FALSE,NA,FALSE,NA,"Cnestis ferruginea",3686799,"Cnestis ferruginea-CNE1FE"
"cnidac","cnidac",NA,NA,"Malpighiales","Euphorbiaceae","Cnidoscolus aconitifolius","I.M. Johnst.",NA,NA,"Freestanding","Cnidoscolus aconitifolius","(Mill.) I.M.Johnst.","species","Euphorbiaceae",FALSE,NA,FALSE,NA,"Cnidoscolus aconitifolius",3073512,"Cnidoscolus aconitifolius-CNIDAC"
"cnidur","cnidur","cnidur",NA,"Malpighiales","Euphorbiaceae","Cnidoscolus urens","(L.) Arthur",NA,NA,"Freestanding","Cnidoscolus urens","(L.) Janti","species","Euphorbiaceae",FALSE,FALSE,FALSE,NA,"Cnidoscolus urens",3073653,"Cnidoscolus urens-CNIDUR"
"cocca2","cocca2","cocca2","COC2","Caryophyllales","Polygonaceae","Coccoloba acuminata","Kunth",NA,NA,"Freestanding","Coccoloba acuminata","Kunth","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba acuminata",7291417,"Coccoloba acuminata-COCCA2-COC2"
"coccca","coccca","coccca","COC4","Caryophyllales","Polygonaceae","Coccoloba caracasana","Meisn.",NA,NA,"Freestanding","Coccoloba caracasana","Meisn.","species","Polygonaceae",FALSE,FALSE,FALSE,NA,"Coccoloba caracasana",7291324,"Coccoloba caracasana-COCCCA-COC4"
