Family	Latin	Author	countries	minLat	maxLat	minLong	maxLong	Npan	N	range	plots	dens	inventories	maxht
Asteraceae	Clibadium leiocarpum	Steetz	3	7.50555	11.85	-86	-80.14166	77	245	81.05	0	0	0	5
Asteraceae	Clibadium sessile	S.F. Blake	2	8.5205556	10.229167	-84.6	-81.81	5	7	2.59	0	0	0	4
Asteraceae	Clibadium surinamense	L.	18	-22.5564	18.45	-88.20277	-52.15	172	881	8340	0	0	0	5
Asteraceae	Clibadium sylvestre	(Aubl.) Baill.	14	-22.2666667	22.82306	-85.474861	-52.0667	102	336	7035	0	0	0	6
Asteraceae	Critonia daleoides	DC.	8	8.48222	24.018056	-102.575	-80.11666	31	329	924	0	0	0	20
Asteraceae	Critonia morifolia	(Mill.) R.M. King & H. Rob.	16	-26.9	24.09321	-104.4233	-46.68	24	615	8019	0	0	0	6
Asteraceae	Decachaeta thieleana	(Klatt) R.M. King & H. Rob.	2	8.76666	10.333333	-85.136944	-82.51666	10	100	18.23	0	0	0	4
Asteraceae	Diplostephium costaricense	S.F. Blake	2	9	9.97028	-84.18806	-82.8166667	7	66	3.59	0	0	0	4.5
Asteraceae	Eirmocephala brachiata	(Benth.) H. Rob.	5	-3.8697	11.0389	-85.3703	-61.01	12	255	1848	0	0	0	3
Asteraceae	Eremosis triflosculosa	(Kunth) Gleason	7	8.6511	28.630833	-109.749444	-82.43333	3	251	1235	0	0	0	12
Asteraceae	Heterocondylus vitalbae	(DC.) R.M. King & H. Rob.	12	-26.3	15.9188889	-88.03027	-39.179167	64	419	11507	0	0	0	6
Asteraceae	Jessea megaphylla	(Greenm.) H. Rob. & Cuatrec.	2	8.68333	10.5	-84.809925	-82.1666667	24	68	16.59	0	0	0	5
Asteraceae	Jessea multivenia	(Benth.) H.Rob. & Cuatrec	1	9.116667	10.30666	-84.73861	-82.96157	0	42	5.25	0	0	0	5
Asteraceae	Koanophyllon hylonomum	(B.L. Rob.) R.M. King & H. Rob.	2	8.6833333	10.98407	-85.4666667	-82.2166667	5	54	21.67	0	0	0	6
Asteraceae	Koanophyllon panamense	R.M. King & H. Rob.	1	7.3619444	9.5514	-82.8153	-79.3553	42	42	33.39	0	0	0	6
Asteraceae	Koanophyllon pittieri	(Klatt) R.M. King & H. Rob.	7	8.62	19.308333	-96.88	-79.83305	6	268	532	0	0	0	7
Asteraceae	Koanophyllon wetmorei	(B.L. Rob.) R.M. King & H. Rob.	2	8.1333333	10.42	-84.02	-77.2833333	27	33	36.14	1	0	0	3
Asteraceae	Lasianthaea fruticosa	(L.) K.M. Becker	8	8.00666	28.8666667	-109.725	-79.3553	28	1279	1859	0	0	0	10
Asteraceae	Lycoseris crocata	(Bertol.) S.F. Blake	7	5.078173	15.775	-90.225	-73.5	4	41	523	0	0	0	5
Asteraceae	Montanoa hibiscifolia	Benth.	8	8.8	19.625	-97.07	-82.5666667	1	190	573	0	0	0	6
Asteraceae	Monticalia andicola	(Turcz.) C. Jeffrey	6	-11.3866666	9.8333	-83.93466	-70.8333	2	110	1449	0	0	0	3
Asteraceae	Monticalia firmipes	(Greenm.) C. Jeffrey	2	8.68	9.97028	-84.18806	-82.8166667	12	77	5.93	0	0	0	3
Asteraceae	Neomirandea burgeri	R.M. King & H. Rob.	2	8.8333333	10.13833	-84.131944	-82.4	3	18	6.54	0	0	0	13
Asteraceae	Neomirandea folsomiana	M.O. Dillon & D'Arcy	1	8.5319445	8.8166667	-82.4	-80.16666	10	10	3.35	0	0	0	NA
Asteraceae	Neomirandea homogama	(Hieron.) H. Rob. & Brettell	3	-4.12	8.85	-82.55	-72.8667	18	45	464	0	0	0	NA
Asteraceae	Neomirandea standleyi	(B.L. Rob.) R.M. King & H. Rob.	3	8.75	11.53333	-85.61666	-82.2	15	74	18.19	0	0	0	3
Asteraceae	Neurolaena lobata	(L.) Cass.	22	-12.81638	32.28833	-116.658333	-52.73	180	1697	7450	0	0	0	5
Asteraceae	Onoseris onoseroides	(Kunth) B.L. Rob.	10	3.28	23	-105.075278	-66.5833334	3	190	1951	0	0	0	5
Asteraceae	Onoseris silvatica	Greenm.	4	2.608333	13.0333333	-85.7833333	-72.584	3	35	321	0	0	0	3
Asteraceae	Oyedaea verbesinoides	DC.	4	5.36681	11.13333	-84.99	-63.5	53	148	755	0	0	0	13
Asteraceae	Piptocoma discolor	(Kunth) Pruski	7	-13.35	11.3166667	-84.8233	-66.0183	23	450	2833	0	0	1	30
Asteraceae	Pluchea carolinensis	(Jacq.) G. Don 	21	-2.21	39.039722	-159.5816389	-55.1	6	1524	6107	0	0	0	5
Asteraceae	Roldana heterogama	(Benth.) H. Rob. & Brettell	4	8.8	17.206389	-96.49	-82.53333	10	72	182	0	0	0	4
Asteraceae	Salmea scandens	(L.) DC.	20	-25.66667	23.95056	-104.407778	-55.611985	8	428	9337	0	0	0	10
Asteraceae	Schistocarpha eupatorioides	(Fenzl) Kuntze	15	-23.74	25.35	-102.575	-63.4583333	51	512	5451	0	0	0	3
Asteraceae	Telanthophora grandifolia	grandifolia	7	8.7833333	23.6166667	-103.775	-82.4139	12	334	845	0	0	0	10
Asteraceae	Tessaria integrifolia	Ruiz & Pav.	12	-36.725	11.4228	-84.7	-48.4675	10	597	11515	0	0	0	15
Asteraceae	Tilesia baccata	(L.) Pruski	18	-36.725	18.1045	-83.508846	-37.4313889	175	792	15016	0	0	0	6
Asteraceae	Tithonia diversifolia	(Hemsl.) A. Gray	15	-1.4694445	24.709444	-105.991667	-52.33333	11	518	4154	0	0	0	5
Asteraceae	Tithonia longiradiata	(Bertol.) S.F. Blake	7	8.7666667	23.6166667	-102.575	-82.4333333	3	240	636	0	0	0	4
Asteraceae	Trixis inula	Crantz	13	4.185328	26.138798782	-110.1166667	-65.1322223	6	932	2519	0	0	0	4
Asteraceae	Verbesina baruensis	Hammel & D'Arcy	1	8.80277	9.0961111	-82.8727778	-82.52222	8	8	0.02	0	0	0	25
Asteraceae	Verbesina fuscasiccans	(D'Arcy) D'Arcy	1	8.62833	9.30083	-80.59166	-79.26583	18	18	2.55	0	0	0	10
Asteraceae	Verbesina gigantea	Jacq.	12	3.95074	23	-102	-61.3557	46	304	1646	1	0.000833333333333333	4	4
Asteraceae	Verbesina guatemalensis	B.L. Rob. & Greenm.	7	9.00194	16.9961111	-92.6241667	-79.68583	2	56	256	0	0	0	5
Asteraceae	Verbesina oerstediana	Benth.	6	7.31055	25.075	-106.508333	-77.2333333	65	214	816	1	0.0473484848484848	4	12
Asteraceae	Verbesina turbacensis	Kunth	10	3.8811	24.525	-105.892	-64.2833333	20	469	2210	0	0	0	6
Asteraceae	Vernonanthura patens	(Kunth) H. Rob.	14	-18.99	23.6166667	-104.6666667	-53.0833334	164	1295	6416	1	0	32	13
Asteraceae	Viguiera cordata	(Hook. & Arn.) D'Arcy	9	5.775	25	-105.1833333	-69.51666	32	278	1650	0	0	0	4
Asteraceae	Viguiera sylvatica	Klatt	2	8.67	10.36	-85.07	-82.6166667	4	82	12.36	0	0	0	5
Asteraceae	Wedelia acapulcensis	Kunth	8	8.12694	30.991667	-110.308333	-80.98833	12	670	1994	0	0	0	3
Asteraceae	Wedelia calycina	Rich.	19	-20.077667	24.15	-87.2091667	-35.741111	87	221	10635	0	0	0	3
Betulaceae	Alnus acuminata	Kunth	13	-28.3769	28.5	-108.280556	-61.5	43	1471	6276	0	0	0	NA
Bignoniaceae	Amphitecna isthmica	(A.H. Gentry) A.H. Gentry	3	7.8506	10.13	-84.604472	-76.6306	33	88	77.23	1	0.0946969696969697	0	10
Bignoniaceae	Amphitecna kennedyae	(A.H. Gentry) A.H. Gentry	5	6.5386	15.7852777	-87.3	-76.2475	12	54	216	0	0	0	15
Bignoniaceae	Amphitecna latifolia	(Mill.) A.H. Gentry	19	-1.4628	25.77527	-102	-61.244251	66	339	2458	1	0.0473484848484848	3	12
Bignoniaceae	Amphitecna parviflora	A.H. Gentry	1	8.73333	8.7716667	-82.25	-82.2	10	10	0.01	0	0	0	NA
Bignoniaceae	Amphitecna sessilifolia	(Donn. Sm.) L.O. Williams	4	8.46	15.7422	-90.1792	-82.3666667	25	118	109	0	0	0	12
Bignoniaceae	Amphitecna spathicalyx	(A.H. Gentry) A.H. Gentry	1	8.68133	9.5492	-80.5428	-78.985	20	20	7.31	2	0.726799242424242	9	NA
Bignoniaceae	Godmania aesculifolia	(Kunth) Standl.	16	-17.5166667	23.6166667	-105.5	-55.5508	68	603	7408	0	0	18	20
Bignoniaceae	Handroanthus chrysanthus	(Jacq.) S.O. Grose	20	-26.45	29.18	-109.7833333	-53.0833334	46	759	10390	0	0	0	30
Bignoniaceae	Handroanthus guayacan	(Seem.) S.O. Grose	11	-11.8333333	21.025	-96.75	-61.6744	166	356	3792	29	3.66607954545455	47	50
Bignoniaceae	Handroanthus impetiginosus	(Mart. ex DC.) Mattos	19	-30.051692	47.66666	-122.58333	-34.833889	17	1511	18253	1	1.03030303030303	0	30
Bignoniaceae	Handroanthus ochraceus	(Cham.) Mattos	17	-28.5	15	-90.5	-35.5972	59	1799	13913	1	0.0303030303030303	11	25
Bignoniaceae	Jacaranda caucana	Pittier	5	0.4844	10.98333	-85.1197	-58.97472	58	251	1637	2	0.0241477272727273	2	28
Bignoniaceae	Jacaranda copaia	(Aubl.) D. Don	15	-17.7275	17	-90.5	-43	181	1541	9986	32	3.11020375737238	46	45
Bignoniaceae	Parmentiera cereifera	Seem.	4	7.96666	22.97	-82.3869	-61.244251	30	33	309	4	0.336174242424242	1	7
