sp4,sp6,family,genus,species,deciduous,oldname,climber,free,liana,vine,shrub,understory,midstory,tree,herb,epiphyte,hemiepiphyte,parasite
SAUY,SAURLA,Actinidiaceae,Saurauia,yasicae,?,Saurauia-laevigata,0,1,0,0,0,0,0,0,0,0,0,0
SCAG,NA,Orchidaceae,Scaphyglottis,graminifolia,E,Scaphyglottis-behrii,NA,NA,0,0,0,0,0,0,0,1,0,0
SCAL,NA,Orchidaceae,Scaphyglottis,longicaulis,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
SCAP,NA,Orchidaceae,Scaphyglottis,prolifera,E,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
SCHM,SCH2MO,Araliaceae,Schefflera,morototoni,E,Didymopanax-morototoni,0,1,0,0,0,0,0,1,0,0,0,0
SCHP,SCHIPA,Fabaceae-Caesalpinioideae,Schizolobium,parahyba,?,Schizolobium-parahybum,0,1,0,0,0,0,0,1,0,0,0,0
NA,SCHOPA,Thymelaeaceae,Schoenobiblus,panamensis,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SCH3VA,Olacaceae,Schoepfia,vacciniiflora,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SCIAEX,Araliaceae,Sciadodendron,excelsum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SCIANI,Menispermaceae,Sciadotenia,nitida,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SCLECO,Fabaceae-Caesalpinioideae,Sclerolobium,costaricense,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
SECD,SECUDI,Polygalaceae,Securidaca,diversifolia,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SELP,NA,Cactaceae,Selenicereus,pteranthus,E,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SENB,SENNBI,Fabaceae-Caesalpinioideae,Senna,bicapsularis,E,NA,0,1,0,0,0,0,0,0,0,0,0,0
SEND,SENNDA,Fabaceae-Caesalpinioideae,Senna,dariensis,DB,Cassia-fruticosa,0,1,0,0,1,0,0,0,0,0,0,0
SENH,NA,Fabaceae-Caesalpiniodeae,Senna,hayesiana,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,SENNOB,Fabaceae-Caesalpinioideae,Senna,obtusifolia,E,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SENR,SENNRE,Fabaceae-Caesalpinioideae,Senna,reticulata,E,Casia-reticulata,0,1,0,0,0,1,0,0,0,0,0,0
SENU,SENNUN,Fabaceae,Senna,undulata,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
SERA,SERJAT,Sapindaceae,Serjania,atrolineata,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SER1,SERJCI,Sapindaceae,Serjania,circumvallata,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SER2,SERJCO,Sapindaceae,Serjania,cornigera,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SERD,SERJDE,Sapindaceae,Serjania,decapleuria,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
NA,SERJM1,Sapindaceae,Serjania,membranacea,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SERM,SERJME,Sapindaceae,Serjania,mexicana,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SER3,SERJPA,Sapindaceae,Serjania,paucidentata,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SER4,SERJPL,Sapindaceae,Serjania,pluvialiflorens,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SERR,SERJRH,Sapindaceae,Serjania,rhombea,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
SERT,SERJTR,Sapindaceae,Serjania,trachygona,E,NA,1,0,1,0,0,0,0,0,0,0,0,0
SICC,SICYCO,Cucurbitaceae,Sicydium,coriaceum,E,NA,1,0,0,1,0,0,0,0,0,0,0,0
NA,SIDAAC,Malvaceae,Sida,aculeata,?,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
NA,SIDECA,Sapotaceae,Sideroxylon,capiri,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIDECE,Sapotaceae,Sideroxylon,celastrinum,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIDECO,Sapotaceae,Sideroxylon,cf.contrerasii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIDEPE,Sapotaceae,Sideroxylon,persimile,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIM1CE,Simaroubaceae,Simaba,cedron,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIM1PO,Simaroubaceae,Simaba,polyphylla,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SIMA,SIMAAM,Simaroubaceae,Simarouba,amara,E,NA,0,1,0,0,0,1,0,0,0,0,0,0
NA,SIMIMA,Rubiaceae,Simira,maxonii,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIPACO,Monimiaceae,Siparuna,conica,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SIPG,SIPACR,Monimiaceae,Siparuna,cristata,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIPACU,Monimiaceae,Siparuna,cuspidata,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIPAGR,Monimiaceae,Siparuna,grandiflora,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SIPAGU,Monimiaceae,Siparuna,guianensis,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
SIPP,SIPAPA,Monimiaceae,Siparuna,pauciflora,E,NA,0,1,0,0,1,0,0,0,0,0,0,0
NA,SIPA3,Monimiaceae,Siparuna,sp.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIPA5,Monimiaceae,Siparuna,sp.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SIPATH,Monimiaceae,Siparuna,thecaphora,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SLOALA,Elaeocarpaceae,Sloanea,aff.laurifolia,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SLOACE,Elaeocarpaceae,Sloanea,cerrojefe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SLOAGR,Elaeocarpaceae,Sloanea,grandiflora,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SLOAM2,Elaeocarpaceae,Sloanea,medusula,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,SLOAME,Elaeocarpaceae,Sloanea,megaphylla,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
SLOM,SLOAM1,Elaeocarpaceae,Sloanea,meianthera,DB,NA,0,1,0,0,0,0,0,1,0,0,0,0
