"sp6"	"sp4"	"family"	"genus"	"species"	"subspecies"	"author"
"sipapa"	"SIPP"	"Siparunaceae"	"Siparuna"	"pauciflora"	NA	"(Beurl.) A. DC."
"sloate"	"SLOT"	"Elaeocarpaceae"	"Sloanea"	"terniflora"	NA	"(Moc. & Sessé ex DC.) Standl."
"socrex"	"SOCE"	"Arecaceae"	"Socratea"	"exorrhiza"	NA	"(Mart.) H. Wendl."
"solaha"	"SOLH"	"Solanaceae"	"Solanum"	"hayesii"	NA	"Fernald"
"sponmo"	"SPOM"	"Anacardiaceae"	"Spondias"	"mombin"	NA	"L."
"sponra"	"SPOR"	"Anacardiaceae"	"Spondias"	"radlkoferi"	NA	"Donn. Sm."
"stemgr"	"STEG"	"Apocynaceae"	"Tabernaemontana"	"africana"	NA	"Hook."
"sterap"	"STEA"	"Malvaceae"	"Sterculia"	"apetala"	NA	"(Jacq.) H. Karst."
"swarpa"	"SWAP"	"Fabaceae"	"Fairchildia"	"panamensis"	NA	"(Benth.) Britton & Rose"
"swars1"	"SWA1"	"Fabaceae"	"Swartzia"	"simplex"	"var. grandiflora"	"(Sw.) Spreng."
"swars2"	"SWA2"	"Fabaceae"	"Swartzia"	"simplex"	"var. continentalis"	"(Sw.) Spreng."
"sympgl"	"SYMG"	"Clusiaceae"	"Symphonia"	"globulifera"	NA	"L. f."
"tab1gu"	"TABG"	"Bignoniaceae"	"Handroanthus"	"guayacan"	NA	"(Seem.) S. O. Grose"
"tab1ro"	"TABR"	"Bignoniaceae"	"Tabebuia"	"rosea"	NA	"(Bertol.) A. DC."
"tab2ar"	"TABA"	"Apocynaceae"	"Tabernaemontana"	"arborea"	NA	"Rose"
"tachve"	"TACV"	"Fabaceae"	"Tachigali"	"panamensis"	NA	"van der Werff & N. Zamora"
"termam"	"TERA"	"Combretaceae"	"Terminalia"	"amazonia"	NA	"(J.F. Gmel.) Exell"
"termob"	"TERO"	"Combretaceae"	"Terminalia"	"oblonga"	NA	"(Ruiz & Pav.) Steud."
"tet2pa"	"TET2"	"Burseraceae"	"Protium"	"stevensonii"	NA	"(Standl.) Daly"
"tet4jo"	"TETJ"	"Salicaceae"	"Tetrathylacium"	"johansenii"	NA	"Standl."
"tocopi"	"TOCP"	"Rubiaceae"	"Tocoyena"	"pittieri"	NA	"(Standl.) Standl."
"tratas"	"TRAA"	"Burseraceae"	"Trattinnickia"	"aspera"	NA	"(Standl.) Swart"
"tremin"	NA	"Cannabaceae"	"Trema"	"domingense"	NA	"Urb."
"tremmi"	"TREM"	"Cannabaceae"	"Trema"	"micranthum"	NA	"(L.) Blume"
"tri2pa"	"TRI1"	"Meliaceae"	"Trichilia"	"pallida"	NA	"Sw."
"tri2pl"	"TRI2"	"Meliaceae"	"Trichilia"	"pleeana"	NA	"C. DC."
"tri2tu"	"TRI3"	"Meliaceae"	"Trichilia"	"tuberculata"	NA	"C. DC."
"tri4ga"	"TRI6"	"Malvaceae"	"Trichospermum"	"mexicanum"	NA	"(DC.) Baill."
"tripcu"	"TRIC"	"Polygonaceae"	"Triplaris"	"cumingiana"	NA	"Fisch. & C.A. Mey. ex C.A. Mey."
"tropra"	"TROR"	"Moraceae"	"Trophis"	"racemosa"	NA	"Urb."
"turpoc"	"TURO"	"Staphyleaceae"	"Turpinia"	"occidentalis"	NA	"(Sw.) G. Don"
"unknwn"	NA	NA	NA	NA	NA	NA
"unonpa"	"UNO2"	"Annonaceae"	"Unonopsis"	"panamensis"	NA	"R.E. Fr."
"unonpi"	"UNOP"	"Annonaceae"	"Unonopsis"	"pittieri"	NA	"Saff."
"varrsp"	"CORS"	"Boraginaceae"	"Varronia"	"spinescens"	NA	(L.) Borhidi
"vataer"	"VATE"	"Fabaceae"	"Vatairea"	"erythrocarpa"	NA	"(Ducke) Ducke"
"virose"	"VIR1"	"Myristicaceae"	"Virola"	"sebifera"	NA	"Aubl."
"virosp"	"VIR3"	"Myristicaceae"	"Virola"	"fosteri"	NA	"D. Santam."
"virosu"	"VIR2"	"Myristicaceae"	"Virola"	"surinamensis"	NA	"(Rol. ex Rottb.) Warb."
"vismma"	"VISM"	"Hypericaceae"	"Vismia"	"macrophylla"	NA	"Kunth"
"viteco"	"VITC"	"Lamiaceae"	"Vitex"	"cooperi"	NA	"Standl."
"vochfe"	"VOCF"	"Vochysiaceae"	"Vochysia"	"ferruginea"	NA	"Mart."
"xyl1ma"	"XYLM"	"Annonaceae"	"Xylopia"	"macrantha"	NA	"Triana & Planch."
"zantbe"	"ZANB"	"Rutaceae"	"Zanthoxylum"	"ekmanii"	NA	"(Urb.) Alain"
"zantp1"	"ZAN1"	"Rutaceae"	"Zanthoxylum"	"panamense"	NA	"P. Wilson"
"zantpr"	"ZAN2"	"Rutaceae"	"Zanthoxylum"	"acuminatum"	NA	"Sw."
"zantse"	"ZANS"	"Rutaceae"	"Zanthoxylum"	"setulosum"	NA	"P. Wilson"
"zuelgu"	"ZUEG"	"Salicaceae"	"Casearia"	"laetioides"	NA	"(A. Rich.) Warb."
