"sp6","sp6curr","sp6prior","sp4","Current_order","Current_family","Current_name","Current_name_author","synonyms","vouchers","habit","Accepted_name","Accepted_name_author","Accepted_name_rank","Accepted_family","currnamechanged","sp6changed","acceptednamedif","notes","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"arraca","arraca",NA,"ARR1","Lamiales","Bignoniaceae","Fridericia candicans","(Rich.) L.G. Lohmann","Arrabidaea candicans","R. Pérez 2137 y 2146 (PMA, SCZ)","Climbing","Fridericia candicans","(Rich.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Fridericia candicans",8032537,"Fridericia candicans-ARRACA-ARR1"
"arrach","arrach",NA,"ARR2","Lamiales","Bignoniaceae","Fridericia chica","(Bonpl.) L.G. Lohmann","Arrabidaea chica","R. Pérez 2477 (PMA, SCZ)","Climbing","Fridericia chica","(Bonpl.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Fridericia chica",7669080,"Fridericia chica-ARRACH-ARR2"
"arrafl","arrafl",NA,"ARRF","Lamiales","Bignoniaceae","Fridericia florida","(DC.) L.G. Lohmann","Arrabidaea florida",NA,"Climbing","Fridericia florida","(DC.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Fridericia florida",7423177,"Fridericia florida-ARRAFL-ARRF"
"arrapa","arrapa",NA,"ARRP","Lamiales","Bignoniaceae","Fridericia patellifera","(Schltdl.) L.G. Lohmann","Arrabidaea patellifera","R. Pérez 2032 y 2062 (PMA, SCZ)","Climbing","Fridericia patellifera","(Schltdl.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Fridericia patellifera",8375350,"Fridericia patellifera-ARRAPA-ARRP"
"arrave","arrave",NA,"ARRV","Lamiales","Bignoniaceae","Fridericia schumanniana","(Loes.) L.G. Lohmann","Arrabidaea verrucosa","R. Pérez 2178 y 2297 (PMA, SCZ)","Climbing","Fridericia schumanniana","(Loes.) L.G.Lohmann","species","Bignoniaceae",FALSE,NA,FALSE,NA,"Fridericia schumanniana",7930324,"Fridericia schumanniana-ARRAVE-ARRV"
"funacl","funacl",NA,NA,"Gentianales","Apocynaceae","Funastrum clausum","(Jacq.) Schltr.","Cynanchum pedunculare",NA,"Climbing","Funastrum clausum","(Jacq.) Schltr.","species","Apocynaceae",FALSE,NA,FALSE,NA,"Funastrum clausum",3170223,"Funastrum clausum-FUNACL"
"garcnu","garcnu",NA,"GARN","Malpighiales","Euphorbiaceae","Garcia nutans","Rohr",NA,NA,"Freestanding","Garcia nutans","Vahl ex Rohr","species","Euphorbiaceae",FALSE,NA,FALSE,NA,"Garcia nutans",3071459,"Garcia nutans-GARCNU-GARN"
"gar2in","gar2in","gar2in","RHEE","Malpighiales","Clusiaceae","Garcinia intermedia","(Pittier) Hammel","Rheedia edulis","R. Pérez 1784 (PMA, SCZ)","Freestanding","Garcinia intermedia","(Pittier) Hammel","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Garcinia intermedia",3714243,"Garcinia intermedia-GAR2IN-RHEE"
"gar2ma","gar2ma","gar2ma","RHEA","Malpighiales","Clusiaceae","Garcinia madruno","(Kunth) Hammel","Rheedia acuminata","R. Pérez 1785 (PMA, SCZ)","Freestanding","Garcinia madruno","(Kunth) Hammel","species","Clusiaceae",FALSE,FALSE,FALSE,NA,"Garcinia madruno",3713863,"Garcinia madruno-GAR2MA-RHEA"
"gar2m2","gar2m2",NA,NA,"Malpighiales","Clusiaceae","Garcinia mangostana","L.",NA,NA,"Freestanding","Garcinia mangostana","L.","species","Clusiaceae",FALSE,NA,FALSE,NA,"Garcinia mangostana",3189571,"Garcinia mangostana-GAR2M2"
