taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Inga coruscans-INGAC2,5357627,Inga coruscans,Freestanding
Inga edulis-INGAED,5357677,Inga edulis,Freestanding
Inga goldmanii-INGAGO-INGO,5357822,Inga goldmanii,Freestanding
Inga hayesii-INGAHA-INHA,5357942,Inga hayesii,Freestanding
Inga laurina-INGAFA-INFA,5358039,Inga laurina,Freestanding
Inga marginata-INGAMA-INMA,7546887,Inga marginata,Freestanding
Inga mucuna-INGAM1-INM1,5358088,Inga mucuna,Freestanding
Inga multijuga-INGAM2-INM2,5357635,Inga multijuga,Freestanding
Inga nobilis-INGAQU-INQU,5357519,Inga nobilis,Freestanding
Inga oerstediana-INGAMI-INMI,5358014,Inga oerstediana,Freestanding
Inga pauciflora-INGAPA-INPA,5357820,Inga pauciflora,Freestanding
Inga pezizifera-INGAPE-INPE,5357576,Inga pezizifera,Freestanding
Inga punctata-INGAPU-INPU,5357665,Inga punctata,Freestanding
Inga ruiziana-INGARU-INRU,5357975,Inga ruiziana,Freestanding
Inga sapindoides-INGASA-INSA,5357706,Inga sapindoides,Freestanding
Inga spectabilis-INGASP-INSP,5357491,Inga spectabilis,Freestanding
Inga thibaudiana-INGATH-INTH,5357991,Inga thibaudiana,Freestanding
Inga umbellifera-INGAUM-INUM,5358027,Inga umbellifera,Freestanding
Inga vera-INGAVE-INVE,5357680,Inga vera,Freestanding
Isertia haenkeana-ISERHA-ISEH,2903537,Isertia haenkeana,Freestanding
Jacaranda copaia-JAC1CO-JACC,7298763,Jacaranda copaia,Freestanding
Jacaratia spinosa-JAC2SP-JACS,7269688,Jacaratia spinosa,Freestanding
Jatropha curcas-JATRCU,3072953,Jatropha curcas,Freestanding
Jupunba barbouriana-PIT1BA-ABAB,11659250,Jupunba barbouriana,Freestanding
Jupunba macradenia-PIT1MA-PITM,11919516,Jupunba macradenia,Freestanding
Klarobelia anomala-CREMAN,3157887,Klarobelia anomala,Freestanding
Koanophyllon wetmorei-KOANWE-KOAW,3145039,Koanophyllon wetmorei,Freestanding
Lacistema aggregatum-LACIAG-LACA,3075397,Lacistema aggregatum,Freestanding
Lacmellea panamensis-LACMPA-LACP,3617831,Lacmellea panamensis,Freestanding
Laetia thamnia-LAETTH-LAET,10825085,Casearia thamnia,Freestanding
Lafoensia punicifolia-LAFOPU-LAFP,3989500,Lafoensia punicifolia,Freestanding
Leucaena multicapitula-LEUCMU-LEUM,2970407,Leucaena multicapitula,Freestanding
Licania hypoleuca-LICAHY-LICH,2985272,Licania hypoleuca,Freestanding
Lindackeria laurina-LINDLA-LINL,3879668,Lindackeria laurina,Freestanding
Lonchocarpus heptaphyllus-LONCLA-LONL,2969089,Lonchocarpus heptaphyllus,Freestanding
Lonchocarpus luteomaculatus-LONCLU-LON2,2969181,Lonchocarpus luteomaculatus,Freestanding
Lonchocarpus velutinus-LONCVE,2969008,Lonchocarpus velutinus,Freestanding
Lozania pittieri-LOZAPI-LOZP,3075439,Lozania pittieri,Freestanding
Luehea seemannii-LUEHSE-LUE1,7149790,Luehea seemannii,Freestanding
Luehea speciosa-LUEHSP-LUE2,5406662,Luehea speciosa,Freestanding
Lycianthes maxonii-LYCIMA-LYCM,7299566,Lycianthes maxonii,Freestanding
Lycianthes synanthera-LYCS,3798770,Lycianthes synanthera,Freestanding
Mabea occidentalis-MABEOC-MABO,3071832,Mabea occidentalis,Freestanding
Macrocnemum roseum-MACRGL-MACG,2895641,Macrocnemum roseum,Freestanding
Malouetia guatemalensis-MALOGU-MALG,3619989,Malouetia guatemalensis,Freestanding
Malouetia quadricasarum-MALOIS,3619671,Malouetia quadricasarum,Freestanding
Malpighia romeroana-MALPRO-MALR,7285434,Malpighia romeroana,Freestanding
Mammea americana-MAMMAM,3189421,Mammea americana,Freestanding
Mangifera indica-MANGIN-MANI,3190638,Mangifera indica,Freestanding
Manihot esculenta-MAN1ES,3060998,Manihot esculenta,Freestanding
Maquira guianensis-MAQUCO-MAQC,3763686,Maquira guianensis,Freestanding
Margaritaria nobilis-MARGNO-MAR2,5383279,Margaritaria nobilis,Freestanding
Marila laxiflora-MAR1LA-MARL,7656893,Marila laxiflora,Freestanding
Maytenus schippii-MAYTSC-MAYS,9793143,Monteverdia schippii,Freestanding
Maytenus sieberiana-MAYTLO,9652852,Monteverdia sieberiana,Freestanding
Miconia affinis-MICOAF-MIC1,3188559,Miconia affinis,Freestanding
Miconia argentea-MICOAR-MIC2,3859926,Miconia argentea,Freestanding
Miconia barbinervis-MICOBA,3859193,Miconia barbinervis,Freestanding
Miconia cinnamomea-CONOCI-CONC,3869829,Miconia cinnamomea,Freestanding
Miconia conobracteata-CONOBR-CONB,10712139,Miconia conobracteata,Freestanding
Miconia conospeciosa-CONOSP-CON1,10820655,Miconia conospeciosa,Freestanding
Miconia dentata-CLIDDE-CLID,10677735,Miconia dentata,Freestanding
Miconia dependens-CLIDCA-CLI1,10738960,Miconia dependens,Freestanding
Miconia elata-MICOEL-MICE,3866980,Miconia elata,Freestanding
Miconia formicocollina-CLIDC1,10772614,Miconia formicocollina,Freestanding
Miconia hondurensis-MICOHO-MICH,3864206,Miconia hondurensis,Freestanding
Miconia impetiolaris-MICOIM-MICI,8409353,Miconia impetiolaris,Freestanding
Miconia lacera-MICOLA-MIC3,3863059,Miconia lacera,Freestanding
Miconia lateriflora-MICOL1-MIC4,3862739,Miconia lateriflora,Freestanding
Miconia lonchophylla-MICOLO-MIC5,3862232,Miconia lonchophylla,Freestanding
