"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","habit"
"Chrysophyllum argenteum-CHR2AR-CHRA",2885742,"Chrysophyllum argenteum","Freestanding"
"Chrysophyllum cainito-CHR2CA-CHRC",2885828,"Chrysophyllum cainito","Freestanding"
"Cinnamomum",3033980,"Cinnamomum",""
"Cionosicys",7317956,"Cionosicys",""
"Cissampelos",3033936,"Cissampelos",""
"Cissampelos pareira-CIS1PA",3033937,"Cissampelos pareira","Climbing"
"Cissampelos tropaeolifolia-CIS1TR-CIST",7268762,"Cissampelos tropaeolifolia","Climbing"
"Cissus",3039160,"Cissus",""
"Cissus alata-CISSAL-CISR",7760485,"Cissus alata","Climbing"
"Cissus erosa-CISSER-CISE",3039162,"Cissus erosa","Climbing"
"Cissus fuliginea-CISSFU-CISP",4054108,"Cissus fuliginea","Climbing"
"Cissus microcarpa-CISSMI-CISM",4055001,"Cissus microcarpa","Climbing"
"Cissus verticillata-CISSVE-CISS",3039173,"Cissus verticillata","Climbing"
"Citharexylum",7853269,"Citharexylum",""
"Citronella",7314391,"Citronella",""
"Citrullus",8257011,"Citrullus",""
"Citrus",3190155,"Citrus",""
"Citrus aurantium-CITRAU",8077391,"Citrus aurantium","Freestanding"
"Citrus maxima-CITRMA",3190160,"Citrus maxima","Freestanding"
"Clappertonia",3152037,"Clappertonia",""
"Clarisia",3234568,"Clarisia",""
"Clavija",7313189,"Clavija",""
"Cleidion",3073726,"Cleidion",""
"Clematis",3033512,"Clematis",""
"Cleomaceae",3845332,"Cleomaceae",""
"Cleome",3041500,"Cleome",""
"Clethra",2888321,"Clethra",""
"Clethraceae",6707,"Clethraceae",""
"Cleyera",3189626,"Cleyera",""
"Clitoria",2946499,"Clitoria",""
"Clitoria falcata",2946543,"Clitoria falcata","Climbing"
"Clitoria javitensis-CLITJA-CLIJ",2946500,"Clitoria javitensis","Climbing"
"Clusia",3189424,"Clusia",""
"Clusia flavida-CLUSFL-HAVF",5556500,"Clusia flavida","Freestanding"
"Clusia minor-CLUSMI-CLU1",5421056,"Clusia minor","Freestanding"
"Clusia odorata-CLUO",5421056,"Clusia minor","Freestanding"
"Clusia peninsulae",7953603,"Clusia peninsulae","Freestanding"
"Clusia uvitana-CLUU",5555867,"Clusia uvitana","Freestanding"
"Clusiaceae",6646,"Clusiaceae",""
"Cnestidium",3686857,"Cnestidium",""
"Cnestidium rufescens-CNESRU-CNER",3687051,"Cnestidium rufescens","Climbing"
"Cnestis",7326563,"Cnestis",""
"Cnidoscolus",3073435,"Cnidoscolus",""
"Coccoloba",2888822,"Coccoloba",""
"Coccoloba acuminata-COCCA2-COC2",7291417,"Coccoloba acuminata","Freestanding"
"Coccoloba coronata-COCCCO-COCC",4033276,"Coccoloba coronata","Freestanding"
"Coccoloba excelsa-COCCEX-COCP",7291174,"Coccoloba excelsa","Climbing"
"Coccoloba johnstonii-COCCJO-COC1",4038317,"Coccoloba johnstonii","Freestanding"
"Coccoloba manzinellensis-COCCMA-COCM",4037724,"Coccoloba manzinellensis","Freestanding"
"Coccoloba obovata-COCCOB",4037016,"Coccoloba obovata","Freestanding"
"Cochliasanthus",3975532,"Cochliasanthus",""
"Cochlospermaceae",3702383,"Cochlospermaceae",""
"Cochlospermum",2874864,"Cochlospermum",""
"Cochlospermum vitifolium-COCHVI-COCV",2874865,"Cochlospermum vitifolium","Freestanding"
"Cocos",2735116,"Cocos",""
"Cocos nucifera-COCONU",2735117,"Cocos nucifera","Freestanding"
"Codiaeum",3071464,"Codiaeum",""
"Codiaeum variegatum-CODIVA",3071476,"Codiaeum variegatum","Freestanding"
"Coffea",2895315,"Coffea",""
"Cojoba",2981327,"Cojoba",""
"Cojoba rufescens-PIT1RU-PITR",2981328,"Cojoba rufescens","Freestanding"
"Colpothrinax",10715803,"Colpothrinax",""
"Colubrina",3039524,"Colubrina",""
"Colubrina glandulosa-COLUGL-COLG",5372466,"Colubrina glandulosa","Freestanding"
"Comarostaphylis",2882662,"Comarostaphylis",""
"Combretaceae",2431,"Combretaceae",""
"Combretum",2986357,"Combretum",""
"Combretum cacoucia-COMBCA-COMC",8396259,"Combretum cacoucia","Climbing"
"Combretum decandrum-COMBDE-COMD",3699211,"Combretum decandrum","Climbing"
"Combretum fruticosum-COMBFR-COMF",3698513,"Combretum fruticosum","Climbing"
"Combretum laxum-COMBLA-COML",7908521,"Combretum laxum","Climbing"
"Compsoneura",3231414,"Compsoneura",""
"Conceveiba",3074933,"Conceveiba",""
"Conchocarpus",7268964,"Conchocarpus",""
"Condaminea",2908490,"Condaminea",""
"Connaraceae",6669,"Connaraceae",""
"Connarus",3032531,"Connarus",""
"Connarus panamensis-CONNPA-CONP",7999411,"Connarus panamensis","Climbing"
"Connarus turczaninowii-CONNTU-CONT",3686802,"Connarus turczaninowii","Climbing"
"Connarus williamsii-CONNWI",7326580,"Connarus williamsii","Climbing"
"Conocarpus",3189384,"Conocarpus",""
"Convolvulaceae",2389,"Convolvulaceae",""
"Copaifera",2978115,"Copaifera",""
"Cordia alliodora-CORDAL-CORA",7649215,"Cordia alliodora","Freestanding"
"Cordia bicolor-CORDBI-CORB",5660135,"Cordia bicolor","Freestanding"
"Cordia lasiocalyx-CORDLA-CORL",5661744,"Cordia lasiocalyx","Freestanding"
"Cordia panamensis-CORDPA-CORP",5341268,"Cordia panamensis","Freestanding"
"Cordia-CORD7",2900865,"Cordia","Freestanding"
"Cordiaceae",4930453,"Cordiaceae",""
"Cordiera",2903362,"Cordiera",""
"Cornaceae",6713,"Cornaceae",""
"Cornus",3082226,"Cornus",""
"Cornutia",2925661,"Cornutia",""
"Corymbia",3180424,"Corymbia",""
"Corypha",2733599,"Corypha",""
"Cosmibuena",2892977,"Cosmibuena",""
"Cosmibuena grandiflora-COSMGR-COSS",5334638,"Cosmibuena grandiflora","Freestanding"
"Cosmibuena macrocarpa-COSMMA",5334661,"Cosmibuena macrocarpa","Freestanding"
"Couepia",2984768,"Couepia",""
"Coulaceae",4928321,"Coulaceae",""
"Couma",7316606,"Couma",""
"Couratari",3083098,"Couratari",""
"Couratari guianensis-COURPA-COUP",3083111,"Couratari guianensis","Freestanding"
"Couroupita",3082553,"Couroupita",""
"Coussarea",2904739,"Coussarea",""
"Coussarea loftonii-COU2LO",2904779,"Coussarea loftonii","Freestanding"
"Coussarea suaveolens-COU2CU-COUC",12185704,"Coussarea suaveolens","Freestanding"
"Coutarea",2893702,"Coutarea",""
"Coutarea hexandra-COUTHE-COUH",2893703,"Coutarea hexandra","Freestanding"
"Crateva",3054261,"Crateva",""
